date,year,month,day,weekday
2023/07/05,2023,7,5,2
2023/07/06,2023,7,6,3
2023/07/07,2023,7,7,4
2023/07/08,2023,7,8,5
2023/07/09,2023,7,9,6
2023/07/10,2023,7,10,0
2023/07/11,2023,7,11,1
2023/07/12,2023,7,12,2
2023/07/13,2023,7,13,3
2023/07/14,2023,7,14,4
2023/07/15,2023,7,15,5
2023/07/16,2023,7,16,6
2023/07/17,2023,7,17,0
2023/07/18,2023,7,18,1
2023/07/19,2023,7,19,2
2023/07/20,2023,7,20,3
2023/07/21,2023,7,21,4
2023/07/22,2023,7,22,5
2023/07/23,2023,7,23,6
2023/07/24,2023,7,24,0
2023/07/25,2023,7,25,1
2023/07/26,2023,7,26,2
2023/07/27,2023,7,27,3
2023/07/28,2023,7,28,4
2023/07/29,2023,7,29,5
2023/07/30,2023,7,30,6
2023/07/31,2023,7,31,0
2023/08/01,2023,8,1,1
2023/08/02,2023,8,2,2
2023/08/03,2023,8,3,3
2023/08/04,2023,8,4,4
2023/08/05,2023,8,5,5
2023/08/06,2023,8,6,6
2023/08/07,2023,8,7,0
2023/08/08,2023,8,8,1
2023/08/09,2023,8,9,2
2023/08/10,2023,8,10,3
2023/08/11,2023,8,11,4
2023/08/12,2023,8,12,5
2023/08/13,2023,8,13,6
2023/08/14,2023,8,14,0
2023/08/15,2023,8,15,1
2023/08/16,2023,8,16,2
2023/08/17,2023,8,17,3
2023/08/18,2023,8,18,4
2023/08/19,2023,8,19,5
2023/08/20,2023,8,20,6
2023/08/21,2023,8,21,0
2023/08/22,2023,8,22,1
2023/08/23,2023,8,23,2
2023/08/24,2023,8,24,3
2023/08/25,2023,8,25,4
2023/08/26,2023,8,26,5
2023/08/27,2023,8,27,6
2023/08/28,2023,8,28,0
2023/08/29,2023,8,29,1
2023/08/30,2023,8,30,2
2023/08/31,2023,8,31,3
2023/09/01,2023,9,1,4
2023/09/02,2023,9,2,5
2023/09/03,2023,9,3,6
2023/09/04,2023,9,4,0
2023/09/05,2023,9,5,1
2023/09/06,2023,9,6,2
2023/09/07,2023,9,7,3
2023/09/08,2023,9,8,4
2023/09/09,2023,9,9,5
2023/09/10,2023,9,10,6
2023/09/11,2023,9,11,0
2023/09/12,2023,9,12,1
2023/09/13,2023,9,13,2
2023/09/14,2023,9,14,3
2023/09/15,2023,9,15,4
2023/09/16,2023,9,16,5
2023/09/17,2023,9,17,6
2023/09/18,2023,9,18,0
2023/09/19,2023,9,19,1
2023/09/20,2023,9,20,2
2023/09/21,2023,9,21,3
2023/09/22,2023,9,22,4
2023/09/23,2023,9,23,5
2023/09/24,2023,9,24,6
2023/09/25,2023,9,25,0
2023/09/26,2023,9,26,1
2023/09/27,2023,9,27,2
2023/09/28,2023,9,28,3
2023/09/29,2023,9,29,4
2023/09/30,2023,9,30,5
2023/10/01,2023,10,1,6
2023/10/02,2023,10,2,0
2023/10/03,2023,10,3,1
2023/10/04,2023,10,4,2
2023/10/05,2023,10,5,3
2023/10/06,2023,10,6,4
2023/10/07,2023,10,7,5
2023/10/08,2023,10,8,6
2023/10/09,2023,10,9,0
2023/10/10,2023,10,10,1
2023/10/11,2023,10,11,2
2023/10/12,2023,10,12,3
2023/10/13,2023,10,13,4
2023/10/14,2023,10,14,5
2023/10/15,2023,10,15,6
2023/10/16,2023,10,16,0
2023/10/17,2023,10,17,1
2023/10/18,2023,10,18,2
2023/10/19,2023,10,19,3
2023/10/20,2023,10,20,4
2023/10/21,2023,10,21,5
2023/10/22,2023,10,22,6
2023/10/23,2023,10,23,0
2023/10/24,2023,10,24,1
2023/10/25,2023,10,25,2
2023/10/26,2023,10,26,3
2023/10/27,2023,10,27,4
2023/10/28,2023,10,28,5
2023/10/29,2023,10,29,6
2023/10/30,2023,10,30,0
2023/10/31,2023,10,31,1
2023/11/01,2023,11,1,2
2023/11/02,2023,11,2,3
2023/11/03,2023,11,3,4
2023/11/04,2023,11,4,5
2023/11/05,2023,11,5,6
2023/11/06,2023,11,6,0
2023/11/07,2023,11,7,1
2023/11/08,2023,11,8,2
2023/11/09,2023,11,9,3
2023/11/10,2023,11,10,4
2023/11/11,2023,11,11,5
2023/11/12,2023,11,12,6
2023/11/13,2023,11,13,0
2023/11/14,2023,11,14,1
2023/11/15,2023,11,15,2
2023/11/16,2023,11,16,3
2023/11/17,2023,11,17,4
2023/11/18,2023,11,18,5
2023/11/19,2023,11,19,6
2023/11/20,2023,11,20,0
2023/11/21,2023,11,21,1
2023/11/22,2023,11,22,2
2023/11/23,2023,11,23,3
2023/11/24,2023,11,24,4
2023/11/25,2023,11,25,5
2023/11/26,2023,11,26,6
2023/11/27,2023,11,27,0
2023/11/28,2023,11,28,1
2023/11/29,2023,11,29,2
2023/11/30,2023,11,30,3
2023/12/01,2023,12,1,4
2023/12/02,2023,12,2,5
2023/12/03,2023,12,3,6
2023/12/04,2023,12,4,0
2023/12/05,2023,12,5,1
2023/12/06,2023,12,6,2
2023/12/07,2023,12,7,3
2023/12/08,2023,12,8,4
2023/12/09,2023,12,9,5
2023/12/10,2023,12,10,6
2023/12/11,2023,12,11,0
2023/12/12,2023,12,12,1
2023/12/13,2023,12,13,2
2023/12/14,2023,12,14,3
2023/12/15,2023,12,15,4
2023/12/16,2023,12,16,5
2023/12/17,2023,12,17,6
2023/12/18,2023,12,18,0
2023/12/19,2023,12,19,1
2023/12/20,2023,12,20,2
2023/12/21,2023,12,21,3
2023/12/22,2023,12,22,4
2023/12/23,2023,12,23,5
2023/12/24,2023,12,24,6
2023/12/25,2023,12,25,0
2023/12/26,2023,12,26,1
2023/12/27,2023,12,27,2
2023/12/28,2023,12,28,3
2023/12/29,2023,12,29,4
2023/12/30,2023,12,30,5
2023/12/31,2023,12,31,6
2024/01/01,2024,1,1,0
2024/01/02,2024,1,2,1
2024/01/03,2024,1,3,2
2024/01/04,2024,1,4,3
2024/01/05,2024,1,5,4
2024/01/06,2024,1,6,5
2024/01/07,2024,1,7,6
2024/01/08,2024,1,8,0
2024/01/09,2024,1,9,1
2024/01/10,2024,1,10,2
2024/01/11,2024,1,11,3
2024/01/12,2024,1,12,4
2024/01/13,2024,1,13,5
2024/01/14,2024,1,14,6
2024/01/15,2024,1,15,0
2024/01/16,2024,1,16,1
2024/01/17,2024,1,17,2
2024/01/18,2024,1,18,3
2024/01/19,2024,1,19,4
2024/01/20,2024,1,20,5
2024/01/21,2024,1,21,6
2024/01/22,2024,1,22,0
2024/01/23,2024,1,23,1
2024/01/24,2024,1,24,2
2024/01/25,2024,1,25,3
2024/01/26,2024,1,26,4
2024/01/27,2024,1,27,5
2024/01/28,2024,1,28,6
2024/01/29,2024,1,29,0
2024/01/30,2024,1,30,1
2024/01/31,2024,1,31,2
2024/02/01,2024,2,1,3
2024/02/02,2024,2,2,4
2024/02/03,2024,2,3,5
2024/02/04,2024,2,4,6
2024/02/05,2024,2,5,0
2024/02/06,2024,2,6,1
2024/02/07,2024,2,7,2
2024/02/08,2024,2,8,3
2024/02/09,2024,2,9,4
2024/02/10,2024,2,10,5
2024/02/11,2024,2,11,6
2024/02/12,2024,2,12,0
2024/02/13,2024,2,13,1
2024/02/14,2024,2,14,2
2024/02/15,2024,2,15,3
2024/02/16,2024,2,16,4
2024/02/17,2024,2,17,5
2024/02/18,2024,2,18,6
2024/02/19,2024,2,19,0
2024/02/20,2024,2,20,1
2024/02/21,2024,2,21,2
2024/02/22,2024,2,22,3
2024/02/23,2024,2,23,4
2024/02/24,2024,2,24,5
2024/02/25,2024,2,25,6
2024/02/26,2024,2,26,0
2024/02/27,2024,2,27,1
2024/02/28,2024,2,28,2
2024/02/29,2024,2,29,3
2024/03/01,2024,3,1,4
2024/03/02,2024,3,2,5
2024/03/03,2024,3,3,6
2024/03/04,2024,3,4,0
2024/03/05,2024,3,5,1
2024/03/06,2024,3,6,2
2024/03/07,2024,3,7,3
2024/03/08,2024,3,8,4
2024/03/09,2024,3,9,5
2024/03/10,2024,3,10,6
2024/03/11,2024,3,11,0
2024/03/12,2024,3,12,1
2024/03/13,2024,3,13,2
2024/03/14,2024,3,14,3
2024/03/15,2024,3,15,4
2024/03/16,2024,3,16,5
2024/03/17,2024,3,17,6
2024/03/18,2024,3,18,0
2024/03/19,2024,3,19,1
2024/03/20,2024,3,20,2
2024/03/21,2024,3,21,3
2024/03/22,2024,3,22,4
2024/03/23,2024,3,23,5
2024/03/24,2024,3,24,6
2024/03/25,2024,3,25,0
2024/03/26,2024,3,26,1
2024/03/27,2024,3,27,2
2024/03/28,2024,3,28,3
2024/03/29,2024,3,29,4
2024/03/30,2024,3,30,5
2024/03/31,2024,3,31,6
2024/04/01,2024,4,1,0
2024/04/02,2024,4,2,1
2024/04/03,2024,4,3,2
2024/04/04,2024,4,4,3
2024/04/05,2024,4,5,4
2024/04/06,2024,4,6,5
2024/04/07,2024,4,7,6
2024/04/08,2024,4,8,0
2024/04/09,2024,4,9,1
2024/04/10,2024,4,10,2
2024/04/11,2024,4,11,3
2024/04/12,2024,4,12,4
2024/04/13,2024,4,13,5
2024/04/14,2024,4,14,6
2024/04/15,2024,4,15,0
2024/04/16,2024,4,16,1
2024/04/17,2024,4,17,2
2024/04/18,2024,4,18,3
2024/04/19,2024,4,19,4
2024/04/20,2024,4,20,5
2024/04/21,2024,4,21,6
2024/04/22,2024,4,22,0
2024/04/23,2024,4,23,1
2024/04/24,2024,4,24,2
2024/04/25,2024,4,25,3
2024/04/26,2024,4,26,4
2024/04/27,2024,4,27,5
2024/04/28,2024,4,28,6
2024/04/29,2024,4,29,0
2024/04/30,2024,4,30,1
2024/05/01,2024,5,1,2
2024/05/02,2024,5,2,3
2024/05/03,2024,5,3,4
2024/05/04,2024,5,4,5
2024/05/05,2024,5,5,6
2024/05/06,2024,5,6,0
2024/05/07,2024,5,7,1
2024/05/08,2024,5,8,2
2024/05/09,2024,5,9,3
2024/05/10,2024,5,10,4
2024/05/11,2024,5,11,5
2024/05/12,2024,5,12,6
2024/05/13,2024,5,13,0
2024/05/14,2024,5,14,1
2024/05/15,2024,5,15,2
2024/05/16,2024,5,16,3
2024/05/17,2024,5,17,4
2024/05/18,2024,5,18,5
2024/05/19,2024,5,19,6
2024/05/20,2024,5,20,0
